City,Cloudiness,Country,Humidity,Lat,Long,Max Temp,Wind Speed
yellowknife,90,CA,97,62.456,-114.3525,-2.55,5.66
sechura,73,PE,68,-5.5569,-80.8222,21.13,3.73
ushuaia,0,AR,49,-54.8,-68.3,7.81,8.75
punta arenas,0,CL,53,-53.15,-70.9167,8.06,8.75
klaksvik,100,FO,85,62.2266,-6.589,8.51,5.0
atuona,23,PF,71,-9.8,-139.0333,24.95,5.59
beocin,0,RS,42,45.2083,19.7206,19.36,6.79
neiafu,75,TO,69,-18.65,-173.9833,25.38,4.63
jamestown,90,US,97,42.097,-79.2353,9.05,0.89
port hardy,1,CA,93,50.6996,-127.4199,6.0,2.06
arraial do cabo,90,BR,83,-22.9661,-42.0278,21.92,7.2
rocha,100,UY,70,-34.4833,-54.3333,22.51,6.05
rochefort,82,FR,82,45.9167,-1.0,19.06,2.68
nanortalik,83,GL,72,60.1432,-45.2371,1.56,1.87
busselton,65,AU,89,-33.65,115.3333,11.69,3.64
hermanus,8,ZA,68,-34.4187,19.2345,24.33,6.03
waipawa,100,NZ,86,-41.4122,175.5153,14.7,6.85
ladario,20,BR,62,-19.0047,-57.6017,30.16,2.57
rikitea,99,PF,82,-23.1203,-134.9692,23.8,9.18
richards bay,98,ZA,82,-28.783,32.0377,19.91,7.55
albany,100,US,93,42.6001,-73.9662,11.88,2.64
bluff,5,NZ,59,-46.6,168.3333,12.56,7.88
port keats,95,AU,76,-14.25,129.55,28.27,2.83
la rioja,100,ES,52,42.25,-2.5,16.14,1.82
mataura,20,NZ,54,-46.1927,168.8643,11.5,3.53
leirvik,100,NO,73,59.7798,5.5005,13.06,4.98
ilulissat,100,GL,79,69.2167,-51.1,-2.05,4.15
mildura,0,AU,47,-34.2,142.15,11.98,2.57
mandiana,70,GN,48,10.6333,-8.6833,32.35,0.67
arlit,28,NE,8,18.7369,7.3853,37.34,2.16
tasiilaq,18,GL,66,65.6145,-37.6368,-8.09,3.13
cape town,0,ZA,49,-33.9258,18.4232,24.5,2.24
hobart,75,AU,66,-42.8794,147.3294,10.59,2.68
nikolskoye,63,RU,87,59.7035,30.7861,9.93,2.64
kpandu,67,GH,65,6.9954,0.2931,29.89,3.0
storforshei,75,NO,81,66.4043,14.5233,7.88,2.06
sattahip,40,TH,100,12.6664,100.9007,28.32,3.09
la reforma,0,MX,77,25.0833,-108.05,21.81,1.57
komsomolskiy,0,UZ,43,40.4272,71.7189,12.4,1.03
provideniya,98,RU,84,64.3833,-173.3,-10.34,4.95
cabo san lucas,27,MX,76,22.8909,-109.9124,24.17,2.87
saint george,1,US,66,37.1041,-113.5841,13.63,2.06
quatre cocos,51,MU,73,-20.2078,57.7625,25.61,1.9
denpasar,75,ID,88,-8.65,115.2167,26.81,0.51
saint-augustin,8,CA,34,51.226,-58.6502,8.4,1.43
sistranda,100,NO,80,63.7256,8.834,12.17,6.25
vaini,20,TO,88,-21.2,-175.2,23.09,2.06
yaring,100,TH,82,6.8662,101.3689,27.38,1.91
cherskiy,100,RU,99,68.75,161.3,-21.09,1.8
tecoanapa,6,MX,81,16.5167,-98.75,25.63,1.39
mar del plata,0,AR,90,-38.0023,-57.5575,23.01,6.71
berlevag,92,NO,82,70.8578,29.0864,3.38,5.07
chikhli,68,IN,58,20.35,76.25,20.48,2.63
adrar,100,MR,12,20.5022,-10.0711,31.6,4.28
thompson,75,CA,93,55.7435,-97.8558,-2.91,1.54
port alfred,0,ZA,70,-33.5906,26.891,20.99,9.11
moron,3,AR,65,-34.6534,-58.6198,28.3,1.79
tilichiki,60,RU,97,60.4667,166.1,-12.6,3.31
margate,87,GB,75,51.3813,1.3862,15.54,0.45
ixtapa,9,MX,91,20.7,-105.2,25.13,0.89
colares,75,PT,90,38.7992,-9.4469,20.55,1.34
east ridge,100,US,94,35.0142,-85.2519,13.39,0.45
butaritari,90,KI,78,3.0707,172.7902,27.55,4.08
kapaa,20,US,82,22.0752,-159.319,21.99,3.09
new norfolk,96,AU,59,-42.7826,147.0587,10.4,2.24
palmer,90,US,85,42.1584,-72.3287,12.86,2.68
katsuura,5,JP,60,35.1333,140.3,16.73,2.05
tual,87,ID,76,-5.6667,132.75,28.23,2.66
bubaque,100,GW,91,11.2833,-15.8333,23.55,2.03
kaeo,100,NZ,95,-35.1,173.7833,16.85,6.69
ribeira grande,75,PT,94,38.5167,-28.7,22.22,9.77
rosamorada,0,MX,87,22.1222,-105.2058,23.36,1.14
chuy,99,UY,73,-33.6971,-53.4616,21.77,6.49
kahramanmaras,100,TR,81,38.0,37.0,12.35,1.76
